component_type,machine_id,temperature,vibration,pressure,motor_current,production_speed,defect_count,humidity,torque,sensor_accuracy,risk_level
Steering,M-118,94.81,4.38,94.77,14.97,126.55,4,54.18,189.89,89.31,1
Steering,M-749,51.85,4.91,59.93,18.56,182.73,1,43.45,201.0,82.4,0
Occupant Safety,M-823,36.57,1.76,103.53,19.71,184.46,0,64.59,172.88,99.58,0
Steering,M-404,38.64,2.19,104.17,43.88,109.26,3,21.31,290.83,97.44,0
Airbag,M-851,63.16,0.4,112.84,49.78,95.9,2,51.2,88.32,86.46,0
Seat Belt,M-992,41.1,3.31,66.98,8.04,140.51,2,32.62,67.46,93.42,0
Steering,M-174,70.86,2.64,50.16,34.51,172.62,0,27.6,356.13,94.44,0
Steering,M-240,47.04,0.45,240.05,13.11,181.37,0,50.09,398.67,99.92,0
Seat Belt,M-611,78.17,1.61,177.32,15.17,53.47,0,59.43,132.22,90.13,0
Occupant Safety,M-222,35.12,2.4,219.61,48.02,103.13,2,75.2,223.36,92.43,0
Occupant Safety,M-516,84.35,1.5,241.41,35.32,181.77,1,80.14,140.57,81.04,0
Steering,M-126,75.82,2.97,189.08,8.62,70.09,0,28.54,251.51,93.27,0
Seat Belt,M-641,46.67,2.46,236.41,20.62,109.85,0,48.12,362.61,94.69,0
Steering,M-933,87.24,0.11,225.01,26.39,91.42,1,61.39,368.91,83.42,0
Occupant Safety,M-699,47.46,4.77,243.06,31.61,157.15,1,57.44,259.34,81.88,0
Steering,M-789,82.29,1.11,131.47,44.66,103.65,4,25.14,178.85,91.19,1
Airbag,M-324,40.13,4.42,86.44,29.09,170.11,1,34.99,329.43,90.55,0
Occupant Safety,M-131,94.8,0.52,138.33,12.6,149.49,3,66.74,61.61,87.58,0
Airbag,M-560,70.09,3.16,149.9,17.17,107.26,3,72.99,162.18,89.5,0
Airbag,M-985,74.28,4.66,153.14,39.16,124.49,2,77.2,246.33,84.7,0
Steering,M-964,78.33,1.69,248.05,40.27,68.17,3,65.16,210.19,96.07,0
Airbag,M-403,63.35,1.17,245.53,22.71,146.17,0,88.95,236.09,94.89,0
Airbag,M-840,63.93,3.83,231.78,46.75,84.19,5,80.32,116.64,95.5,0
Steering,M-207,52.02,0.3,159.72,14.26,80.38,0,85.18,307.26,85.12,0
Airbag,M-441,44.46,3.96,148.63,38.74,125.72,3,42.79,327.94,87.54,0
Steering,M-620,57.38,0.26,89.57,6.59,191.16,0,69.46,58.64,88.4,0
Occupant Safety,M-896,45.53,1.44,183.29,35.38,144.11,0,30.72,62.35,94.3,0
Seat Belt,M-739,98.7,0.33,106.14,40.44,129.31,3,72.23,283.05,81.57,1
Occupant Safety,M-159,36.15,4.25,140.14,14.2,169.05,3,40.31,222.71,85.82,0
Occupant Safety,M-320,49.24,4.53,223.32,28.11,171.17,3,63.43,68.4,94.56,0
Steering,M-426,90.39,3.82,133.8,27.75,169.66,5,54.9,105.9,96.19,0
Airbag,M-163,42.59,2.18,194.44,6.16,174.83,0,44.45,246.81,94.97,0
Seat Belt,M-511,67.85,0.6,235.44,38.13,117.01,0,83.17,131.81,92.36,0
Occupant Safety,M-909,57.6,2.62,174.6,46.75,147.58,3,50.95,109.94,93.4,0
Airbag,M-812,37.67,4.01,123.8,12.45,171.39,3,60.82,104.59,97.05,0
Airbag,M-373,26.15,1.92,192.15,42.74,152.19,1,76.9,358.3,98.28,0
Airbag,M-376,29.54,3.46,237.83,30.0,123.76,4,67.35,117.71,86.09,0
Seat Belt,M-126,98.17,2.35,172.17,27.04,178.35,2,88.15,304.64,93.67,0
Airbag,M-525,84.89,2.03,102.44,32.34,100.06,3,73.23,143.45,96.84,0
Seat Belt,M-231,60.99,1.42,52.62,22.34,140.41,0,75.08,268.65,92.13,0
Occupant Safety,M-726,48.22,0.94,207.16,13.57,133.51,0,39.51,198.79,82.73,0
Airbag,M-616,32.73,4.66,137.28,40.28,118.58,7,58.57,188.79,98.66,2
Occupant Safety,M-599,76.45,2.71,200.07,20.53,117.7,0,65.28,333.25,83.12,0
Occupant Safety,M-518,40.1,0.34,76.73,47.31,82.55,2,41.67,155.0,89.88,0
Airbag,M-990,83.07,0.54,194.69,38.0,109.85,2,33.1,128.92,91.63,0
Steering,M-933,62.18,0.4,117.35,37.54,126.16,0,71.16,236.75,83.44,0
Steering,M-217,53.69,3.96,58.43,17.19,162.13,4,55.75,139.48,91.83,0
Occupant Safety,M-731,97.45,2.46,157.74,42.37,101.1,3,25.25,220.34,92.34,1
Airbag,M-573,39.08,2.86,140.12,28.42,80.53,0,22.05,101.93,89.48,0
Steering,M-635,97.75,1.47,94.62,14.65,129.8,1,73.74,146.92,89.25,0
Occupant Safety,M-740,69.55,0.54,233.27,15.71,158.07,0,23.93,52.04,92.28,0
Steering,M-249,32.03,2.64,218.69,43.04,55.77,1,88.17,290.7,89.52,0
Seat Belt,M-736,76.8,3.16,94.5,21.06,53.59,2,48.16,335.69,89.46,0
Steering,M-225,92.8,1.13,110.48,24.57,143.35,3,45.64,327.08,94.8,0
Airbag,M-278,83.79,3.15,161.74,30.95,195.74,2,39.75,193.48,94.71,0
Seat Belt,M-155,32.8,1.04,231.27,13.39,190.76,0,62.37,104.11,96.8,0
Steering,M-961,87.21,2.27,58.95,34.33,57.26,3,54.23,207.92,81.74,0
Seat Belt,M-167,82.93,4.16,106.39,44.24,178.9,9,58.15,286.43,86.9,2
Steering,M-216,25.41,2.85,160.85,25.26,64.89,0,29.78,172.29,95.79,0
Seat Belt,M-775,71.7,3.43,81.9,38.34,166.55,2,32.67,68.65,88.01,0
Airbag,M-189,33.47,4.86,139.36,38.42,175.3,2,89.7,100.03,91.6,0
Occupant Safety,M-896,63.7,1.3,239.3,46.22,152.4,2,63.72,86.53,91.58,0
Airbag,M-457,55.67,1.62,137.83,24.5,147.2,0,35.31,156.23,83.29,0
Steering,M-887,99.15,3.96,247.08,39.76,72.56,3,31.61,275.31,80.94,0
Seat Belt,M-166,80.63,3.56,187.95,25.78,111.87,3,70.0,198.12,96.5,0
Airbag,M-425,89.27,1.98,93.98,36.75,140.05,3,31.4,114.13,80.49,0
Occupant Safety,M-198,68.08,1.12,153.06,49.19,107.56,1,81.36,98.5,92.97,0
Airbag,M-856,83.94,2.6,163.34,12.55,192.86,2,78.11,261.75,91.56,0
Airbag,M-971,67.32,1.14,115.36,14.21,75.19,0,37.94,76.09,86.66,0
Seat Belt,M-236,98.7,3.79,174.45,28.57,155.51,7,52.48,68.91,91.53,1
Steering,M-132,67.5,0.82,82.79,21.23,119.24,0,47.61,161.11,81.33,0
Airbag,M-806,46.74,0.84,119.25,33.08,102.39,0,76.19,141.11,83.88,0
Occupant Safety,M-702,79.17,2.45,245.75,5.9,137.36,0,33.53,391.6,99.28,0
Seat Belt,M-486,53.33,2.81,174.92,10.28,82.23,0,50.6,253.35,93.03,0
Steering,M-273,67.03,2.44,177.47,12.14,130.72,0,75.43,295.35,99.5,0
Airbag,M-875,58.57,0.46,111.62,35.66,65.98,0,58.72,298.47,84.75,0
Airbag,M-802,55.55,1.31,110.77,26.6,118.59,0,25.37,118.92,80.07,0
Occupant Safety,M-360,49.2,2.84,86.96,42.97,102.31,2,76.83,268.05,92.96,0
Steering,M-411,82.2,3.41,188.76,29.12,108.45,7,47.01,166.24,91.85,1
Airbag,M-196,46.47,4.39,156.33,6.34,92.3,1,30.04,135.72,97.29,0
Airbag,M-230,68.42,0.23,107.45,21.8,192.53,0,82.42,339.26,99.36,0
Seat Belt,M-235,65.38,0.11,158.76,37.29,120.78,0,74.71,179.92,89.01,0
Steering,M-394,76.58,2.39,170.35,6.67,108.53,0,20.99,254.43,88.4,0
Seat Belt,M-393,52.33,2.92,197.88,5.29,121.92,0,52.07,285.37,88.55,0
Seat Belt,M-794,67.09,1.94,236.52,39.96,89.04,0,31.01,204.05,85.09,0
Seat Belt,M-820,45.77,1.26,195.61,20.13,141.59,0,74.23,163.27,92.81,0
Steering,M-454,27.51,2.9,104.31,11.62,172.51,0,50.71,325.59,88.67,0
Seat Belt,M-157,70.14,4.66,68.08,44.05,56.53,4,59.99,172.56,82.87,1
Seat Belt,M-376,50.55,2.13,132.52,49.67,196.01,1,70.96,209.33,93.03,0
Occupant Safety,M-444,81.99,3.03,73.4,29.5,116.66,4,22.84,73.86,85.89,0
Seat Belt,M-168,62.9,2.54,168.17,10.71,113.82,0,55.07,193.15,80.6,0
Airbag,M-940,71.05,2.67,117.88,20.9,127.34,0,46.01,149.2,92.55,0
Steering,M-425,42.71,2.33,182.94,24.22,153.53,0,52.72,140.35,90.11,0
Seat Belt,M-989,55.13,1.37,103.74,43.66,174.14,3,47.4,298.54,89.28,0
Steering,M-545,30.73,2.25,244.94,14.3,81.07,0,62.97,378.77,86.44,0
Occupant Safety,M-837,93.47,0.75,245.45,36.94,183.45,2,45.79,166.31,82.73,0
Occupant Safety,M-457,94.15,0.19,248.8,26.56,176.09,3,55.85,273.32,94.21,0
Steering,M-359,75.83,0.76,85.67,13.49,86.03,0,84.17,169.18,89.3,0
Seat Belt,M-933,52.23,4.97,190.59,18.72,94.64,4,53.88,152.99,95.49,0
Steering,M-823,62.28,0.36,218.41,38.78,77.31,0,35.59,61.28,93.52,0
Steering,M-279,94.52,2.11,154.96,28.68,101.27,3,78.85,313.43,87.16,0
Steering,M-519,32.9,2.81,202.22,41.16,183.13,3,21.18,128.62,83.53,0
Airbag,M-631,32.53,1.08,206.71,31.91,165.02,0,26.94,79.43,88.17,0
Occupant Safety,M-986,95.68,0.44,71.75,33.16,57.75,1,29.51,327.5,84.36,0
Occupant Safety,M-197,87.2,3.9,246.59,49.48,52.05,6,64.99,304.69,99.82,2
Steering,M-431,38.83,0.46,232.56,31.82,96.86,0,35.66,260.34,94.32,0
Steering,M-686,43.62,4.88,179.84,32.81,151.0,3,63.66,344.49,86.32,0
Occupant Safety,M-525,99.2,2.33,208.89,42.46,57.02,3,65.41,388.01,81.63,1
Seat Belt,M-463,98.74,2.19,242.13,13.49,52.31,2,62.43,202.01,86.63,0
Steering,M-786,39.86,0.87,214.96,26.54,107.51,0,51.53,110.06,80.97,0
Seat Belt,M-545,85.29,1.49,79.64,30.03,174.34,3,62.8,311.28,98.24,0
Occupant Safety,M-616,67.18,2.66,222.73,19.34,157.01,0,34.84,136.48,95.14,0
Airbag,M-828,31.94,2.21,57.33,7.58,170.76,0,23.62,172.88,96.93,0
Seat Belt,M-500,68.29,3.54,106.87,47.31,98.96,4,87.48,298.3,81.08,0
Airbag,M-173,45.91,4.9,206.17,29.03,124.5,3,79.04,214.5,88.62,0
Seat Belt,M-308,66.44,2.37,82.25,41.63,140.42,2,86.53,284.48,86.2,0
Airbag,M-689,85.46,2.1,239.28,36.19,155.64,2,62.97,171.08,87.28,0
Steering,M-505,32.69,2.82,174.02,43.19,187.52,3,54.2,132.41,89.84,0
Steering,M-910,99.27,3.92,102.17,17.07,144.13,3,77.92,73.54,92.24,0
Occupant Safety,M-965,47.73,2.12,218.21,5.03,92.5,0,89.06,180.68,99.08,0
Steering,M-784,47.91,3.64,146.36,16.51,145.39,4,85.76,87.36,97.01,0
Steering,M-907,53.67,3.86,129.22,14.74,95.47,2,77.69,128.32,81.27,0
Seat Belt,M-126,97.66,0.29,181.04,38.0,142.57,3,42.34,103.26,87.02,0
Airbag,M-309,63.28,4.8,230.23,21.76,184.57,4,33.21,64.93,92.27,0
Airbag,M-937,55.65,1.11,177.32,46.52,88.93,1,70.02,267.43,95.06,0
Occupant Safety,M-866,88.8,3.6,62.58,35.48,108.8,4,44.24,67.42,80.58,0
Seat Belt,M-196,34.6,4.16,61.01,23.39,184.1,3,40.66,154.75,96.9,0
Steering,M-559,43.35,2.22,196.84,30.74,53.49,0,43.36,175.64,95.71,0
Airbag,M-689,35.32,1.34,128.44,9.6,90.36,0,44.52,56.09,93.93,0
Seat Belt,M-505,38.4,0.91,57.07,7.54,98.21,0,60.2,318.28,86.24,0
Seat Belt,M-584,63.52,0.44,211.48,49.12,103.77,1,27.6,172.52,90.55,0
Occupant Safety,M-161,94.77,3.62,134.54,11.22,85.67,4,49.4,231.28,97.07,0
Occupant Safety,M-542,84.43,4.44,73.93,12.96,127.84,6,30.44,240.67,99.56,2
Airbag,M-707,39.54,2.46,146.7,19.66,161.62,0,31.08,261.39,80.75,0
Steering,M-258,64.63,2.7,75.54,18.95,157.97,0,53.68,56.81,88.86,0
Occupant Safety,M-723,31.7,1.08,62.57,11.76,73.26,0,76.97,263.74,93.76,0
Steering,M-592,77.85,3.1,140.88,42.44,89.87,4,34.96,379.83,86.49,0
Seat Belt,M-890,97.18,0.91,77.74,11.35,95.26,1,49.56,123.32,86.14,0
Occupant Safety,M-280,38.77,3.03,222.23,38.3,127.17,2,63.02,339.56,82.98,0
Airbag,M-566,77.6,3.38,211.08,33.1,70.24,3,74.67,266.02,82.73,0
Airbag,M-462,58.57,3.03,59.81,40.42,107.5,6,28.62,266.86,82.81,1
Seat Belt,M-183,80.25,2.47,67.91,21.95,132.23,3,24.35,139.06,90.71,0
Airbag,M-330,33.81,4.29,144.73,30.55,171.48,2,52.29,162.68,88.33,0
Steering,M-879,42.41,1.91,93.87,13.43,138.38,0,82.89,144.12,93.41,0
Seat Belt,M-707,61.06,4.61,141.9,30.34,144.82,4,81.56,117.2,91.04,0
Steering,M-325,58.52,1.3,51.94,48.83,81.12,2,53.63,331.99,88.06,0
Airbag,M-601,50.32,2.98,83.26,30.26,178.98,0,65.25,193.98,95.58,0
Seat Belt,M-339,38.41,0.9,200.08,5.98,152.04,0,35.07,76.65,86.37,0
Airbag,M-942,94.04,4.04,222.55,45.94,144.11,9,31.59,387.57,81.58,2
Seat Belt,M-619,72.9,1.45,142.69,36.46,86.78,0,52.27,236.35,81.25,0
Airbag,M-239,31.86,0.19,149.84,5.74,152.76,0,71.92,85.29,87.41,0
Occupant Safety,M-249,46.59,0.18,106.0,47.85,105.44,3,61.32,293.99,86.01,0
Occupant Safety,M-575,45.98,4.95,216.82,14.77,81.28,4,59.43,222.18,86.07,0
Occupant Safety,M-110,99.76,4.16,75.23,12.64,193.59,5,75.48,360.06,82.33,1
Occupant Safety,M-218,41.88,1.17,220.17,45.27,147.63,3,87.08,391.42,98.12,0
Airbag,M-260,76.31,2.22,117.85,29.09,51.14,0,74.15,109.62,90.04,0
Seat Belt,M-824,86.34,2.23,51.02,30.17,185.35,3,58.82,317.76,94.17,0
Seat Belt,M-619,77.09,4.97,194.81,22.76,166.6,1,20.96,195.36,91.39,0
Occupant Safety,M-663,59.23,0.14,184.54,19.59,159.1,0,42.57,228.16,87.16,0
Occupant Safety,M-538,93.38,3.49,218.74,13.22,170.62,6,25.42,108.18,98.96,1
Seat Belt,M-995,82.01,3.24,176.09,13.28,68.84,7,46.42,155.68,81.0,1
Steering,M-991,32.59,3.19,181.23,43.21,135.26,2,29.55,256.51,88.71,0
Occupant Safety,M-749,84.76,1.22,189.14,6.31,154.81,1,89.14,199.2,97.22,0
Seat Belt,M-231,66.08,1.33,134.36,26.48,56.42,0,38.9,235.21,97.04,0
Occupant Safety,M-179,79.1,3.84,249.41,5.4,84.92,3,26.09,310.38,88.68,0
Occupant Safety,M-549,78.22,3.93,145.18,19.86,137.92,2,62.23,84.96,87.79,0
Steering,M-174,74.38,0.65,198.96,34.91,88.88,0,74.21,139.18,90.91,0
Seat Belt,M-445,39.95,3.7,221.0,34.73,171.94,3,61.68,339.49,90.83,0
Steering,M-218,56.35,0.72,118.21,29.08,92.59,0,34.93,88.12,87.2,0
Seat Belt,M-860,88.87,2.31,87.99,5.13,122.16,2,64.43,302.92,84.4,0
Occupant Safety,M-954,69.0,4.56,172.71,13.09,88.32,1,34.05,118.4,93.55,0
Occupant Safety,M-240,77.81,1.87,222.24,24.81,133.73,0,87.07,384.09,86.19,0
Occupant Safety,M-755,28.94,2.08,58.89,8.74,82.3,0,79.86,79.35,92.63,0
Seat Belt,M-655,35.47,4.83,241.98,34.31,156.79,1,86.61,264.54,80.42,0
Seat Belt,M-707,87.49,2.32,82.63,47.83,90.5,4,21.95,299.15,84.36,1
Airbag,M-121,87.26,2.45,55.49,11.85,115.6,3,41.3,189.42,80.54,0
Seat Belt,M-159,75.92,2.34,129.71,41.21,52.87,3,67.7,89.35,87.15,0
Seat Belt,M-686,88.24,1.21,77.91,16.3,71.2,3,39.07,77.51,88.34,0
Seat Belt,M-626,27.19,1.63,246.66,12.53,150.74,0,85.59,201.16,94.49,0
Occupant Safety,M-116,58.34,4.92,163.56,24.34,157.87,2,84.45,152.73,91.72,0
Steering,M-154,64.81,4.99,160.5,18.65,60.29,3,24.72,93.33,97.35,0
Seat Belt,M-971,44.35,1.84,209.32,42.46,104.3,3,53.51,250.46,93.82,0
Seat Belt,M-328,37.23,1.7,241.77,29.41,196.97,0,20.68,121.15,80.1,0
Steering,M-160,66.61,2.21,109.14,16.77,59.89,0,80.87,210.74,85.08,0
Steering,M-670,79.31,0.13,108.21,8.74,100.5,0,39.96,260.04,84.07,0
Airbag,M-386,85.74,2.94,55.33,18.93,177.29,3,58.24,394.48,80.71,0
Steering,M-511,94.42,0.93,200.36,28.6,101.22,2,38.88,280.27,95.63,0
Seat Belt,M-718,29.78,3.27,183.68,7.12,135.3,2,82.97,256.66,91.62,0
Airbag,M-294,67.19,2.16,231.27,23.73,139.16,0,32.44,245.03,83.31,0
Airbag,M-688,56.99,3.8,82.16,44.56,160.1,4,58.7,328.18,86.47,0
Airbag,M-721,77.98,2.88,203.59,48.57,145.75,2,62.43,220.91,99.56,0
Steering,M-684,30.45,2.64,136.64,24.2,69.45,0,31.48,171.41,84.14,0
Steering,M-431,26.8,2.3,187.2,8.67,112.16,0,75.57,258.75,97.05,0
Steering,M-943,65.81,1.35,216.03,31.76,52.13,0,59.36,217.82,99.76,0
Steering,M-186,93.38,1.77,218.73,9.92,67.16,3,35.67,335.16,85.5,0
Occupant Safety,M-393,35.52,3.78,152.6,29.09,170.0,1,62.41,164.42,95.08,0
Seat Belt,M-866,52.76,1.03,234.8,33.39,89.57,0,78.81,60.47,85.66,0
Occupant Safety,M-933,37.61,3.04,130.08,41.8,193.19,4,23.65,207.21,91.36,0
Occupant Safety,M-155,53.8,1.39,76.04,38.88,117.42,0,73.58,233.35,88.35,0
Steering,M-292,38.02,3.29,144.51,14.82,94.5,2,64.23,391.3,87.81,0
Occupant Safety,M-143,68.96,4.52,240.87,9.53,93.37,4,58.03,103.64,98.26,0
Seat Belt,M-390,60.71,3.0,161.56,34.71,135.2,0,55.72,291.74,84.53,0
Seat Belt,M-148,41.68,1.59,59.79,36.85,110.09,0,30.43,310.75,99.99,0
Airbag,M-870,40.76,3.63,240.21,9.13,98.98,1,70.66,74.72,84.53,0
Steering,M-272,97.03,1.32,194.5,48.14,142.14,4,78.03,264.36,86.01,1
Seat Belt,M-270,41.77,3.94,237.35,15.04,112.38,2,84.3,358.66,89.96,0
Airbag,M-937,51.08,1.85,202.75,36.53,137.25,0,50.25,244.11,98.87,0
Seat Belt,M-723,65.13,1.89,136.71,42.35,82.68,3,40.92,76.58,95.64,0
Airbag,M-372,42.85,3.15,64.5,35.98,173.7,1,35.82,188.68,92.48,0
Steering,M-854,51.8,2.45,77.49,45.89,174.5,3,56.38,187.41,92.91,0
Occupant Safety,M-403,49.08,0.89,149.66,20.55,141.21,0,62.58,375.69,84.88,0
Steering,M-944,44.98,1.93,134.79,18.32,79.43,0,60.05,156.52,92.13,0
Occupant Safety,M-816,34.5,0.3,143.97,40.83,121.77,3,56.77,238.66,95.57,0
Seat Belt,M-300,36.35,3.01,69.01,34.78,51.59,4,60.13,113.3,91.96,0
Occupant Safety,M-449,95.76,2.08,107.83,37.92,63.66,1,53.2,182.26,83.95,0
Occupant Safety,M-803,46.78,2.93,191.34,6.54,107.91,0,40.3,84.86,83.44,0
Airbag,M-108,59.8,1.27,99.42,36.6,61.91,0,71.9,106.06,94.94,0
Occupant Safety,M-508,33.33,4.88,182.51,9.83,192.21,2,35.17,87.78,89.57,0
Occupant Safety,M-589,93.3,2.8,78.2,21.12,76.11,2,72.54,319.73,87.14,0
Seat Belt,M-744,52.04,4.5,140.21,33.24,91.83,4,59.75,238.51,83.16,0
Airbag,M-983,37.55,3.91,102.48,32.16,198.55,3,52.97,320.86,94.15,0
Steering,M-669,97.0,3.78,67.57,18.19,119.72,5,83.83,304.74,82.29,0
Airbag,M-656,65.94,2.53,54.32,14.15,87.15,0,89.36,83.48,86.66,0
Steering,M-377,69.77,0.5,234.29,42.39,131.96,1,66.06,336.12,85.87,0
Seat Belt,M-868,34.81,2.8,168.11,20.03,98.68,0,20.28,95.35,90.07,0
Occupant Safety,M-418,48.69,2.55,189.0,48.65,199.82,1,47.41,117.51,90.87,0
Occupant Safety,M-672,48.95,4.71,113.54,30.66,135.99,4,71.47,190.46,97.44,0
Seat Belt,M-873,37.28,4.25,242.12,14.11,75.82,1,28.04,340.51,97.64,0
Airbag,M-704,73.53,2.43,140.88,41.15,187.4,1,43.37,336.95,85.08,0
Seat Belt,M-965,28.15,3.74,147.33,41.14,121.8,6,38.5,351.92,87.28,1
Occupant Safety,M-290,98.55,2.27,211.14,38.75,91.94,3,52.17,221.17,97.23,0
Airbag,M-347,56.19,1.32,226.13,48.57,52.94,2,49.53,76.88,96.7,0
Airbag,M-576,28.45,3.25,111.59,36.12,195.21,3,27.6,230.34,84.46,0
Steering,M-380,94.79,1.44,176.5,37.88,99.98,1,21.83,300.44,94.53,0
Seat Belt,M-480,97.45,4.06,243.45,47.97,94.69,4,29.6,223.99,96.2,2
Seat Belt,M-769,25.81,4.73,67.44,31.11,148.32,4,41.32,168.79,89.7,0
Seat Belt,M-629,87.63,4.01,94.43,38.87,95.53,5,37.71,241.46,92.05,1
Occupant Safety,M-550,59.27,3.4,236.79,5.3,188.21,2,30.76,259.55,94.2,0
Airbag,M-200,28.06,3.51,189.58,18.14,126.57,2,47.65,398.06,86.85,0
Occupant Safety,M-542,27.22,0.52,81.28,48.21,119.27,1,89.81,96.51,96.46,0
Seat Belt,M-133,55.95,4.1,242.82,26.17,158.44,1,60.31,112.8,82.89,0
Airbag,M-740,38.28,2.15,186.33,26.13,182.04,0,72.97,259.31,82.53,0
Seat Belt,M-103,34.98,2.25,149.76,24.61,187.26,0,43.58,292.56,83.57,0
Occupant Safety,M-126,75.37,0.27,87.98,36.09,108.32,0,43.46,52.5,89.76,0
Seat Belt,M-598,32.8,0.73,122.96,10.04,175.06,0,87.95,253.02,99.77,0
Seat Belt,M-119,42.06,4.62,225.9,27.11,150.07,3,77.65,375.84,93.52,0
Seat Belt,M-753,46.75,4.65,178.18,38.35,87.37,4,54.64,361.59,87.83,0
Occupant Safety,M-607,44.33,4.68,67.21,27.81,158.98,4,63.4,127.46,85.0,0
Seat Belt,M-445,33.39,3.14,123.91,45.42,145.53,3,41.33,124.34,94.56,0
Seat Belt,M-510,98.04,3.98,213.42,12.22,81.56,7,20.67,275.13,96.69,1
Seat Belt,M-627,51.95,2.18,112.93,32.03,79.46,0,29.02,339.23,80.37,0
Seat Belt,M-148,85.03,3.94,233.61,37.94,139.2,5,43.92,371.02,96.37,0
Steering,M-660,31.53,0.83,174.92,45.71,148.78,3,39.74,200.11,90.29,0
Occupant Safety,M-491,97.8,0.52,197.39,41.53,138.84,4,44.26,176.76,83.92,1
Occupant Safety,M-978,31.38,4.45,211.34,28.19,73.15,1,89.38,154.3,85.07,0
Seat Belt,M-355,88.08,0.99,227.73,21.74,103.48,1,56.68,123.94,87.85,0
Airbag,M-528,85.66,2.18,238.4,21.53,71.56,1,85.3,67.32,92.02,0
Occupant Safety,M-382,99.67,2.55,63.68,17.73,57.61,1,31.47,269.49,86.11,0
Occupant Safety,M-777,49.97,2.82,149.44,21.91,67.88,0,74.05,214.4,92.75,0
Seat Belt,M-526,96.21,2.97,230.0,5.0,63.97,2,65.73,247.49,84.97,0
Steering,M-242,35.75,2.87,130.28,17.32,124.87,0,49.0,144.62,90.78,0
Seat Belt,M-377,65.76,2.49,58.31,36.64,87.16,0,46.81,382.74,94.47,0
Steering,M-565,82.33,4.07,168.38,24.75,76.98,3,53.47,54.47,91.19,1
Occupant Safety,M-535,97.61,4.47,217.89,25.76,77.7,7,26.98,158.29,98.47,2
Steering,M-789,31.75,0.96,74.92,26.52,53.2,0,76.03,253.54,93.5,0
Airbag,M-360,80.59,1.17,61.76,28.24,111.79,3,61.24,240.13,87.34,0
Occupant Safety,M-189,58.07,1.33,225.32,47.95,173.56,3,84.79,260.67,93.88,0
Seat Belt,M-883,73.95,4.77,180.34,13.0,54.94,4,68.39,171.01,89.32,0
Seat Belt,M-389,38.05,0.7,77.66,43.65,126.08,3,55.33,110.44,87.9,0
Steering,M-908,74.06,2.49,223.64,7.63,172.83,0,52.87,101.49,98.19,0
Airbag,M-859,55.25,2.48,136.82,46.52,166.42,1,40.92,165.04,90.56,0
Steering,M-104,67.47,4.31,191.9,36.39,191.41,2,74.07,273.36,80.07,0
Airbag,M-918,33.53,4.58,175.0,32.48,123.16,4,79.47,136.9,97.01,0
Seat Belt,M-324,64.1,1.61,137.2,8.5,122.72,0,45.21,368.84,82.99,0
Steering,M-982,88.21,3.81,109.75,15.18,136.74,5,29.77,366.01,81.83,0
Seat Belt,M-764,31.36,4.71,63.02,39.54,110.34,2,44.88,278.87,94.41,0
Airbag,M-531,49.75,2.43,197.86,22.16,153.16,0,64.24,302.73,93.23,0
Airbag,M-439,35.85,0.81,128.48,32.65,107.05,0,66.66,194.86,97.06,0
Occupant Safety,M-682,91.04,3.25,148.53,27.44,92.16,2,59.91,168.92,87.28,0
Occupant Safety,M-223,60.41,2.38,69.34,16.41,187.97,0,67.7,152.3,93.5,0
Airbag,M-437,28.54,4.36,136.44,19.48,101.4,4,60.59,191.99,86.95,0
Occupant Safety,M-765,46.7,1.58,171.88,37.67,195.51,0,47.51,257.8,99.82,0
Steering,M-910,90.39,2.08,160.36,5.86,198.54,3,39.4,240.66,94.63,0
Occupant Safety,M-669,99.77,0.33,163.4,37.8,118.64,1,20.42,68.27,87.64,0
Steering,M-188,93.7,3.43,69.07,26.65,87.51,4,52.1,223.2,84.01,0
Occupant Safety,M-779,75.85,0.63,88.57,18.92,163.31,0,73.49,217.38,81.96,0
Airbag,M-848,66.23,3.74,110.96,6.0,168.8,3,66.8,88.75,94.82,0
Steering,M-710,36.32,3.44,189.38,38.98,185.04,1,46.49,307.57,91.5,0
Seat Belt,M-943,57.83,2.37,235.98,48.3,132.32,3,34.57,234.6,80.94,0
Occupant Safety,M-501,83.57,2.88,89.2,36.63,88.02,3,48.22,361.84,88.72,0
Airbag,M-668,55.93,3.07,65.76,33.02,127.63,3,43.65,133.34,83.14,0
Steering,M-985,46.94,0.62,56.92,33.02,77.68,0,76.71,75.15,88.48,0
Seat Belt,M-892,81.33,2.25,102.35,6.87,92.56,3,23.73,181.07,88.28,0
Steering,M-242,55.69,3.46,135.63,11.84,83.21,1,42.42,222.36,92.84,0
Occupant Safety,M-189,37.68,2.78,156.39,44.55,199.12,1,34.59,291.97,91.66,0
Steering,M-671,74.03,2.53,146.37,21.02,162.3,0,65.29,383.24,86.13,0
Airbag,M-887,45.47,0.55,249.82,29.79,52.91,0,76.63,383.19,84.56,0
Seat Belt,M-137,63.32,3.48,227.92,5.07,182.16,4,75.84,260.46,93.58,0
Steering,M-721,36.63,4.53,248.18,33.06,81.6,4,43.69,338.2,98.01,0
Seat Belt,M-178,34.49,1.03,155.82,22.81,109.88,0,72.31,349.37,86.33,0
Seat Belt,M-449,63.88,4.74,149.99,44.42,126.9,4,34.22,219.03,91.1,1
Seat Belt,M-355,30.23,3.3,187.92,9.24,124.04,3,50.51,188.67,90.91,0
